电影名称,评分,简介
肖申克的救赎,9.7,暂无简介
霸王别姬,9.6,暂无简介
泰坦尼克号,9.5,暂无简介
阿甘正传,9.5,暂无简介
千与千寻,9.4,暂无简介
美丽人生,9.5,暂无简介
星际穿越,9.4,暂无简介
这个杀手不太冷,9.4,暂无简介
盗梦空间,9.4,暂无简介
楚门的世界,9.4,暂无简介
辛德勒的名单,9.5,暂无简介
忠犬八公的故事,9.4,暂无简介
海上钢琴师,9.3,暂无简介
疯狂动物城,9.3,暂无简介
三傻大闹宝莱坞,9.2,暂无简介
机器人总动员,9.3,暂无简介
放牛班的春天,9.3,暂无简介
无间道,9.3,暂无简介
控方证人,9.6,暂无简介
大话西游之大圣娶亲,9.2,暂无简介
熔炉,9.3,暂无简介
寻梦环游记,9.1,暂无简介
触不可及,9.3,暂无简介
教父,9.3,暂无简介
当幸福来敲门,9.1,暂无简介
末代皇帝,9.3,暂无简介
哈利·波特与魔法石,9.2,暂无简介
龙猫,9.2,暂无简介
活着,9.3,暂无简介
怦然心动,9.1,暂无简介
蝙蝠侠：黑暗骑士,9.2,暂无简介
指环王3：王者无敌,9.3,暂无简介
我不是药神,9.0,暂无简介
乱世佳人,9.3,暂无简介
飞屋环游记,9.1,暂无简介
让子弹飞,9.0,暂无简介
哈尔的移动城堡,9.1,暂无简介
十二怒汉,9.4,暂无简介
素媛,9.3,暂无简介
海蒂和爷爷,9.3,暂无简介
猫鼠游戏,9.1,暂无简介
天空之城,9.2,暂无简介
鬼子来了,9.3,暂无简介
摔跤吧！爸爸,9.0,暂无简介
少年派的奇幻漂流,9.1,暂无简介
钢琴家,9.3,暂无简介
指环王2：双塔奇兵,9.2,暂无简介
死亡诗社,9.2,暂无简介
大话西游之月光宝盒,9.0,暂无简介
何以为家,9.1,暂无简介
闻香识女人,9.1,暂无简介
绿皮书,8.9,暂无简介
大闹天宫,9.4,暂无简介
黑客帝国,9.1,暂无简介
指环王1：护戒使者,9.1,暂无简介
罗马假日,9.1,暂无简介
教父2,9.3,暂无简介
狮子王,9.1,暂无简介
天堂电影院,9.2,暂无简介
饮食男女,9.2,暂无简介
辩护人,9.2,暂无简介
本杰明·巴顿奇事,9.0,暂无简介
搏击俱乐部,9.0,暂无简介
美丽心灵,9.1,暂无简介
穿条纹睡衣的男孩,9.2,暂无简介
情书,8.9,暂无简介
哈利·波特与死亡圣器(下),9.0,暂无简介
两杆大烟枪,9.1,暂无简介
窃听风暴,9.2,暂无简介
音乐之声,9.1,暂无简介
功夫,8.9,暂无简介
西西里的美丽传说,8.9,暂无简介
哈利·波特与阿兹卡班的囚徒,9.0,暂无简介
阿凡达,8.8,暂无简介
看不见的客人,8.8,暂无简介
拯救大兵瑞恩,9.1,暂无简介
沉默的羔羊,8.9,暂无简介
小鞋子,9.2,暂无简介
飞越疯人院,9.1,暂无简介
布达佩斯大饭店,8.9,暂无简介
蝴蝶效应,8.9,暂无简介
禁闭岛,8.9,暂无简介
心灵捕手,9.0,暂无简介
致命魔术,8.9,暂无简介
低俗小说,8.9,暂无简介
超脱,9.0,暂无简介
哈利·波特与密室,8.9,暂无简介
还有明天,9.3,暂无简介
喜剧之王,8.8,暂无简介
摩登时代,9.3,暂无简介
一一,9.1,暂无简介
杀人回忆,8.9,暂无简介
致命ID,8.9,暂无简介
春光乍泄,9.0,暂无简介
海豚湾,9.3,暂无简介
加勒比海盗,8.8,暂无简介
美国往事,9.1,暂无简介
红辣椒,9.0,暂无简介
七宗罪,8.8,暂无简介
唐伯虎点秋香,8.8,暂无简介
狩猎,9.1,暂无简介
幽灵公主,8.9,暂无简介
甜蜜蜜,8.9,暂无简介
寄生虫,8.8,暂无简介
蝙蝠侠：黑暗骑士崛起,8.9,暂无简介
天书奇谭,9.2,暂无简介
7号房的礼物,8.9,暂无简介
超能陆战队,8.8,暂无简介
爱在黎明破晓前,8.8,暂无简介
第六感,8.9,暂无简介
爱在日落黄昏时,8.9,暂无简介
被嫌弃的松子的一生,8.8,暂无简介
茶馆,9.6,暂无简介
重庆森林,8.8,暂无简介
未麻的部屋,9.1,暂无简介
哈利·波特与火焰杯,8.8,暂无简介
入殓师,8.9,暂无简介
头脑特工队,8.8,暂无简介
借东西的小人阿莉埃蒂,8.9,暂无简介
菊次郎的夏天,8.9,暂无简介
剪刀手爱德华,8.7,暂无简介
断背山,8.8,暂无简介
勇敢的心,8.9,暂无简介
时空恋旅人,8.8,暂无简介
消失的爱人,8.7,暂无简介
无人知晓,9.1,暂无简介
倩女幽魂,8.8,暂无简介
驯龙高手,8.8,暂无简介
花样年华,8.8,暂无简介
傲慢与偏见,8.7,暂无简介
新世界,8.9,暂无简介
完美的世界,9.1,暂无简介
阳光灿烂的日子,8.8,暂无简介
小森林 夏秋篇,9.0,暂无简介
一个叫欧维的男人决定去死,8.9,暂无简介
天使爱美丽,8.7,暂无简介
玩具总动员3,8.9,暂无简介
怪兽电力公司,8.8,暂无简介
色，戒,8.7,暂无简介
侧耳倾听,8.9,暂无简介
教父3,9.0,暂无简介
请以你的名字呼唤我,8.8,暂无简介
哪吒闹海,9.2,暂无简介
幸福终点站,8.8,暂无简介
九品芝麻官,8.8,暂无简介
被解救的姜戈,8.8,暂无简介
釜山行,8.6,暂无简介
小森林 冬春篇,9.0,暂无简介
神偷奶爸,8.7,暂无简介
萤火之森,8.8,暂无简介
喜宴,9.0,暂无简介
告白,8.8,暂无简介
玛丽和麦克斯,9.0,暂无简介
七武士,9.3,暂无简介
头号玩家,8.6,暂无简介
模仿游戏,8.8,暂无简介
大鱼,8.8,暂无简介
惊魂记,9.0,暂无简介
射雕英雄传之东成西就,8.7,暂无简介
血战钢锯岭,8.7,暂无简介
你的名字。,8.5,暂无简介
我是山姆,9.0,暂无简介
背靠背，脸对脸,9.5,暂无简介
阳光姐妹淘,8.8,暂无简介
心灵奇旅,8.7,暂无简介
恐怖直播,8.7,暂无简介
黑客帝国3：矩阵革命,8.8,暂无简介
电锯惊魂,8.7,暂无简介
小丑,8.7,暂无简介
三块广告牌,8.7,暂无简介
谍影重重3,8.9,暂无简介
达拉斯买家俱乐部,8.8,暂无简介
无间道2,8.8,暂无简介
疯狂原始人,8.7,暂无简介
末路狂花,9.0,暂无简介
绿里奇迹,8.9,暂无简介
爱在午夜降临前,8.9,暂无简介
高山下的花环,9.5,暂无简介
海街日记,8.8,暂无简介
疯狂的石头,8.6,暂无简介
风之谷,8.9,暂无简介
上帝之城,9.0,暂无简介
雨中曲,9.1,暂无简介
2001太空漫游,8.9,暂无简介
心迷宫,8.7,暂无简介
英雄本色,8.6,暂无简介
机器人之梦,9.1,暂无简介
记忆碎片,8.7,暂无简介
纵横四海,8.8,暂无简介
