电影中文名,电影英文名,电影详情页链接,导演,主演,上映年份,国籍,类型,评分,评分人数
肖申克的救赎,The Shawshank Redemption,https://movie.douban.com/subject/1292052/,弗兰克·德拉邦特 Frank Darabont,蒂姆·罗宾斯 Tim Robbins /...,1994 ,美国,犯罪 剧情,9.7,3231738人评价
霸王别姬,再见，我的妾  /  Farewell My Concubine,https://movie.douban.com/subject/1291546/,陈凯歌 Kaige Chen,张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993 ,中国大陆 中国香港,剧情 爱情 同性,9.6,2385359人评价
泰坦尼克号,Titanic,https://movie.douban.com/subject/1292722/,詹姆斯·卡梅隆 James Cameron,莱昂纳多·迪卡普里奥 Leonardo...,1997 ,美国 墨西哥,剧情 爱情 灾难,9.5,2454804人评价
阿甘正传,Forrest Gump,https://movie.douban.com/subject/1292720/,罗伯特·泽米吉斯 Robert Zemeckis,汤姆·汉克斯 Tom Hanks / ...,1994 ,美国,剧情 爱情,9.5,2395114人评价
千与千寻,千と千尋の神隠し,https://movie.douban.com/subject/1291561/,宫崎骏 Hayao Miyazaki,柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001 ,日本,剧情 动画 奇幻,9.4,2495239人评价
美丽人生,La vita è bella,https://movie.douban.com/subject/1292063/,罗伯托·贝尼尼 Roberto Benigni,罗伯托·贝尼尼 Roberto Beni...,1997 ,意大利,剧情 喜剧 爱情 战争,9.5,1460080人评价
星际穿越,Interstellar,https://movie.douban.com/subject/1889243/,克里斯托弗·诺兰 Christopher Nolan,马修·麦康纳 Matthew Mc...,2014 ,美国 英国 加拿大,剧情 科幻 冒险,9.4,2135143人评价
这个杀手不太冷,Léon,https://movie.douban.com/subject/1295644/,吕克·贝松 Luc Besson,让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994 ,法国 美国,剧情 动作 犯罪,9.4,2519281人评价
盗梦空间,Inception,https://movie.douban.com/subject/3541415/,克里斯托弗·诺兰 Christopher Nolan,莱昂纳多·迪卡普里奥 Le...,2010 ,美国 英国,剧情 科幻 悬疑 冒险,9.4,2289862人评价
楚门的世界,The Truman Show,https://movie.douban.com/subject/1292064/,彼得·威尔 Peter Weir,金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998 ,美国,剧情 科幻,9.4,1978518人评价
辛德勒的名单,Schindler's List,https://movie.douban.com/subject/1295124/,史蒂文·斯皮尔伯格 Steven Spielberg,连姆·尼森 Liam Neeson...,1993 ,美国,剧情 历史 战争,9.5,1230492人评价
忠犬八公的故事,Hachi: A Dog's Tale,https://movie.douban.com/subject/3011091/,莱塞·霍尔斯道姆 Lasse Hallström,理查·基尔 Richard Ger...,2009 ,美国 英国,剧情,9.4,1522870人评价
海上钢琴师,La leggenda del pianista sull'oceano,https://movie.douban.com/subject/1292001/,朱塞佩·托纳多雷 Giuseppe Tornatore,蒂姆·罗斯 Tim Roth / ...,1998 ,意大利,剧情 音乐,9.3,1853408人评价
疯狂动物城,Zootopia,https://movie.douban.com/subject/25662329/,拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,金妮弗·...,2016 ,美国,喜剧 动画 冒险,9.3,2230526人评价
三傻大闹宝莱坞,3 Idiots,https://movie.douban.com/subject/3793023/,拉库马·希拉尼 Rajkumar Hirani,阿米尔·汗 Aamir Khan / 卡...,2009 ,印度,剧情 喜剧 爱情 歌舞,9.2,2047843人评价
机器人总动员,WALL·E,https://movie.douban.com/subject/2131459/,安德鲁·斯坦顿 Andrew Stanton,本·贝尔特 Ben Burtt / 艾丽...,2008 ,美国,科幻 动画 冒险,9.3,1464542人评价
放牛班的春天,Les choristes,https://movie.douban.com/subject/1291549/,克里斯托夫·巴拉蒂 Christophe Barratier,让-巴蒂斯特·莫尼...,2004 ,法国 瑞士 德国,剧情 音乐,9.3,1451761人评价
无间道,無間道,https://movie.douban.com/subject/1307914/,刘伟强 / 麦兆辉,刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,2002 ,中国香港,剧情 犯罪 惊悚,9.3,1537911人评价
控方证人,Witness for the Prosecution,https://movie.douban.com/subject/1296141/,比利·怀尔德 Billy Wilder,泰隆·鲍华 Tyrone Power / 玛琳·...,1957 ,美国,剧情 犯罪 悬疑 惊悚,9.6,691352人评价
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,https://movie.douban.com/subject/1292213/,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995 ,中国香港 中国大陆,喜剧 爱情 奇幻 古装,9.2,1686140人评价
熔炉,도가니,https://movie.douban.com/subject/5912992/,黄东赫 Dong-hyuk Hwang,孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011 ,韩国,剧情,9.3,1023017人评价
寻梦环游记,Coco,https://movie.douban.com/subject/20495023/,李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina,...,2017 ,美国,喜剧 动画 奇幻 音乐,9.1,1940925人评价
触不可及,Intouchables,https://movie.douban.com/subject/6786002/,奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano主...,...,2011 ,法国,剧情 喜剧,9.3,1272768人评价
教父,The Godfather,https://movie.douban.com/subject/1291841/,弗朗西斯·福特·科波拉 Francis Ford Coppola,马龙·白兰度 M...,1972 ,美国,剧情 犯罪,9.3,1087161人评价
当幸福来敲门,The Pursuit of Happyness,https://movie.douban.com/subject/1849031/,加布里尔·穆奇诺 Gabriele Muccino,威尔·史密斯 Will Smith ...,2006 ,美国,剧情 传记 家庭,9.1,1664675人评价
末代皇帝,The Last Emperor,https://movie.douban.com/subject/1293172/,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,尊龙 John Lone / 陈...,1987 ,英国 意大利 中国大陆 法国,剧情 传记 历史,9.3,1011076人评价
哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,https://movie.douban.com/subject/1295038/,Chris Columbus,Daniel Radcliffe / Emma Watson / Rupert Grint,2001 ,美国 英国,奇幻 冒险,9.2,1394109人评价
龙猫,となりのトトロ,https://movie.douban.com/subject/1291560/,宫崎骏 Hayao Miyazaki,日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988 ,日本,动画 奇幻 冒险,9.2,1392121人评价
活着,人生  /  Lifetimes,https://movie.douban.com/subject/1292365/,张艺谋 Yimou Zhang,葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,1994 ,中国大陆 中国香港,剧情 历史 家庭,9.3,954358人评价
怦然心动,Flipped,https://movie.douban.com/subject/3319755/,罗伯·莱纳 Rob Reiner,玛德琳·卡罗尔 Madeline Carroll / 卡...,2010 ,美国,剧情 喜剧 爱情,9.1,2021870人评价
蝙蝠侠：黑暗骑士,The Dark Knight,https://movie.douban.com/subject/1851857/,克里斯托弗·诺兰 Christopher Nolan,克里斯蒂安·贝尔 Christ...,2008 ,美国 英国,剧情 动作 科幻 犯罪 惊悚,9.2,1176121人评价
指环王3：王者无敌,The Lord of the Rings: The Return of the King,https://movie.douban.com/subject/1291552/,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,2003 ,美国 新西兰,剧情 动作 奇幻 冒险,9.3,896012人评价
